Iteration	Posterior	Likelihood	Prior	alpha_seq	branch_rates	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	omega	origin_time	p_inv	rates_seq[1]	rates_seq[2]	rates_seq[3]	rates_seq[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
35	342.9507	-1195.888	1538.838	1.034062	0.006576953	0.006576953	0.03874213	0.131433	0.277005	0.1045	0.0122632	0.395485	0.0793134	0.3448474	0.5746228	69.39565	0.6386069	0.1437	0.486756	1.00542	2.36412	0.230378	0.177928	0.241648	0.350047	0.3835896	0.8990011
36	343.2195	-1195.236	1538.455	1.023925	0.006538166	0.006538166	0.0188742	0.123943	0.236443	0.109963	0.00993278	0.416161	0.103557	0.3544009	0.6006494	67.83317	0.6386069	0.141703	0.483827	1.00385	2.37062	0.226953	0.175282	0.276076	0.32169	0.3732751	0.9494362
37	346.3461	-1191.784	1538.13	1.182777	0.004887588	0.004887588	0.004912334	0.123943	0.236443	0.109963	0.00993278	0.416161	0.103557	0.3544861	0.5743493	67.03955	0.6386069	0.171918	0.525551	1.02473	2.2778	0.20291	0.262652	0.246829	0.28761	0.3593984	0.9863318
38	344.1199	-1191.01	1535.13	1.429126	0.004942361	0.004942361	-0.01802123	0.0891424	0.244422	0.113674	0.0155071	0.430204	0.107051	0.3702909	0.5743493	67.02347	0.6386069	0.214163	0.576318	1.04597	2.16355	0.236747	0.18139	0.28799	0.293873	0.3522697	1.051157
39	344.8361	-1193.638	1538.474	1.429126	0.004785922	0.004785922	0.03452035	0.0907208	0.24875	0.0789501	0.0157816	0.437821	0.127977	0.3177493	0.5785182	66.66199	0.6386069	0.214163	0.576318	1.04597	2.16355	0.25821	0.19735	0.224711	0.31973	0.3522697	0.9020059
40	346.6986	-1190.962	1537.66	1.503822	0.005164362	0.005164362	0.02311847	0.0863513	0.251667	0.125209	0.0137638	0.390737	0.132272	0.3224276	0.5757464	65.81068	0.6386069	0.225912	0.589191	1.05065	2.13425	0.260643	0.199209	0.226828	0.31332	0.3455461	0.9330958
41	347.8082	-1191.021	1538.829	1.469862	0.005164362	0.005164362	0.02892198	0.0865943	0.252375	0.125562	0.0109875	0.391837	0.132644	0.3391298	0.6892458	65.72086	0.6386069	0.220629	0.583462	1.0486	2.14731	0.260643	0.199209	0.226828	0.31332	0.3680518	0.9214187
42	370.7864	-1167.976	1538.762	1.535132	0.004334887	0.004334887	0.01168467	0.0845061	0.246289	0.115428	0.0104231	0.413908	0.129445	0.3555683	0.691457	67.24056	0.6386069	0.230699	0.594302	1.05242	2.12258	0.233329	0.206568	0.235208	0.324895	0.367253	0.9681836
43	368.3219	-1169.84	1538.162	1.532158	0.004170864	0.004170864	0.01656482	0.084924	0.247507	0.148638	0.0130102	0.415955	0.0899659	0.3502099	0.691457	67.41591	0.6386069	0.230248	0.593823	1.05226	2.12367	0.218766	0.193676	0.282941	0.304617	0.3667747	0.9548365
44	370.3253	-1168.22	1538.546	1.496856	0.004338473	0.004338473	0.0292863	0.0897705	0.246688	0.148147	0.0129672	0.414579	0.0878482	0.3652936	0.6672723	67.38325	0.6386069	0.224836	0.588032	1.05024	2.13689	0.218766	0.193676	0.282941	0.304617	0.3945799	0.9257785
45	370.3747	-1168.382	1538.757	0.9785332	0.004357901	0.004357901	-0.004276994	0.0891474	0.244976	0.154059	0.0128772	0.411701	0.0872384	0.3672254	0.5249402	66.47801	0.6386069	0.132651	0.470203	0.99635	2.4008	0.235328	0.208338	0.242452	0.313883	0.3629484	1.011784
46	375.9852	-1166.387	1542.372	0.9741028	0.004578129	0.004578129	0.02440629	0.0735975	0.238324	0.145789	0.0133519	0.400522	0.128416	0.3538673	0.5867286	67.19954	0.6386069	0.131758	0.468827	0.995573	2.40384	0.2376	0.21035	0.235136	0.316914	0.3782736	0.9354798
47	372.0584	-1166.881	1538.939	0.9562715	0.004797915	0.004797915	0.03642985	0.0773828	0.250581	0.153287	0.0140386	0.421121	0.083589	0.3552445	0.5505317	67.6028	0.6386069	0.128148	0.463202	0.992359	2.41629	0.177709	0.226874	0.253608	0.34181	0.3916743	0.9069894
48	375.9724	-1162.869	1538.842	1.148592	0.00480395	0.00480395	0.0355732	0.0837321	0.271142	0.165865	0.0151905	0.373623	0.0904476	0.3561011	0.5505317	67.71938	0.6386069	0.165613	0.517272	1.02084	2.29628	0.220374	0.242284	0.270834	0.266508	0.3916743	0.9091766
49	424.6157	-1113.132	1537.748	0.823087	0.004844692	0.004844692	0.03975281	0.095472	0.267668	0.16374	0.0149958	0.368836	0.0892887	0.3479053	0.5260055	67.90718	0.5666839	0.100461	0.416266	0.963152	2.52012	0.212161	0.288939	0.242326	0.256574	0.3876581	0.8974539
50	426.9376	-1111.346	1538.284	0.5286719	0.004772965	0.004772965	0.03605343	0.109278	0.236915	0.112269	0.0171644	0.422173	0.102201	0.3508886	0.5168348	68.47086	0.5666839	0.0388172	0.270222	0.840059	2.8509	0.206448	0.242116	0.24407	0.307366	0.3869421	0.9068247
51	431.6784	-1104.863	1536.542	0.8152092	0.004252912	0.004252912	0.03854596	0.107399	0.250035	0.110339	0.0168693	0.414914	0.100443	0.3483961	0.519711	67.98718	0.5666839	0.0987908	0.413186	0.961082	2.52694	0.259548	0.236417	0.238326	0.26571	0.3869421	0.9003831
52	433.7804	-1103.855	1537.636	0.5171171	0.003180751	0.003180751	0.0338362	0.103995	0.273802	0.106842	0.0163346	0.401765	0.0972602	0.3473369	0.5200864	68.12253	0.5666839	0.0366025	0.262944	0.832334	2.86812	0.225903	0.228689	0.25472	0.290689	0.3811731	0.9112314
53	432.332	-1103.104	1535.436	0.5923889	0.004502277	0.004502277	0.05183705	0.111489	0.190503	0.119859	0.0183248	0.450714	0.10911	0.3307261	0.5077672	67.26718	0.5666839	0.0515421	0.308015	0.877386	2.76306	0.260633	0.196413	0.253573	0.289381	0.3825631	0.8645007
54	429.8742	-1108.34	1538.214	0.5298572	0.004399571	0.004399571	0.0572728	0.101811	0.234343	0.129237	0.0116135	0.423357	0.0996383	0.3307586	0.6241846	66.58059	0.5666839	0.0390462	0.270961	0.840834	2.84916	0.234329	0.201241	0.244794	0.319636	0.3880314	0.8524016
55	432.4748	-1106.087	1538.562	0.5168785	0.004154007	0.004154007	0.02402589	0.101417	0.233436	0.128737	0.0154391	0.421718	0.0992526	0.3507216	0.6546877	66.8017	0.3833601	0.0365571	0.262792	0.832171	2.86848	0.234329	0.201241	0.244794	0.319636	0.3747475	0.9358878
56	429.6733	-1109.046	1538.719	0.5370281	0.004286961	0.004286961	0.02938291	0.120205	0.237936	0.122923	0.0214928	0.402673	0.0947702	0.3593439	0.5683222	67.13961	0.3833601	0.0404392	0.275403	0.845447	2.83871	0.219661	0.25124	0.229471	0.299628	0.3887269	0.9244125
57	435.6446	-1099.387	1535.032	0.4555427	0.003976353	0.003976353	0.0469784	0.101172	0.245639	0.117453	0.0221887	0.415709	0.0978383	0.3609485	0.5650392	67.16051	0.4597823	0.0254744	0.221906	0.785016	2.9676	0.23287	0.231815	0.24327	0.292046	0.4079269	0.8848362
