Iteration	Posterior	Likelihood	Prior	alpha_seq	branch_rates	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	omega	origin_time	p_inv	rates_seq[1]	rates_seq[2]	rates_seq[3]	rates_seq[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
48	1037.036	-649.6056	1686.642	1.193421	0.000881733	0.000881733	-0.01939679	0.0491009	0.193724	0.158381	0.0486448	0.486472	0.0636765	0.3079836	0.8905803	64.60088	0.4763601	0.173859	0.528059	1.02589	2.2722	0.205266	0.292992	0.246726	0.255016	0.2885868	1.067213
49	1035.354	-650.6739	1686.028	1.22972	0.0009145048	0.0009145048	0.003418054	0.0650596	0.227166	0.193276	0.0570421	0.382787	0.0746687	0.2971721	0.8917147	65.35756	0.4763601	0.180397	0.536372	1.02964	2.25359	0.202952	0.289689	0.243944	0.263414	0.3005902	0.9886289
50	1031.953	-653.0032	1684.956	1.663447	0.0008792049	0.0008792049	0.00452343	0.0650596	0.227166	0.193276	0.0570421	0.382787	0.0746687	0.2859418	0.8821934	65.24259	0.4763601	0.249503	0.613679	1.05873	2.07808	0.203039	0.289813	0.252109	0.255039	0.2904652	0.9844269
51	1035.843	-651.0564	1686.9	1.52153	0.0009217528	0.0009217528	0.02454831	0.0666292	0.174717	0.148652	0.0465075	0.476732	0.0867636	0.2859418	0.8881086	66.09474	0.5614276	0.228629	0.592101	1.05166	2.12761	0.221617	0.271741	0.251858	0.254784	0.3104901	0.9209369
52	1033.949	-653.7844	1687.733	1.493678	0.0009709605	0.0009709605	0.03451458	0.0677902	0.177761	0.146393	0.0347415	0.485039	0.0882755	0.2849422	0.8482959	67.39082	0.5614276	0.224344	0.587501	1.05005	2.13811	0.21833	0.282542	0.248122	0.251005	0.3194568	0.8919585
53	1034.771	-650.6141	1685.386	1.623605	0.0009804493	0.0009804493	-0.00241595	0.0703094	0.184367	0.151833	0.0360325	0.503064	0.0543942	0.3268185	0.8451531	66.11203	0.5614276	0.243801	0.607916	1.05693	2.09136	0.2288	0.241451	0.260021	0.269728	0.3244026	1.007447
54	1040.787	-645.9794	1686.766	1.179968	0.0009158814	0.0009158814	-0.007357548	0.0663246	0.15684	0.16623	0.0385658	0.538432	0.0336082	0.3317601	0.8489676	66.35031	0.5614276	0.171404	0.524884	1.02442	2.27929	0.221404	0.240489	0.269453	0.268654	0.3244026	1.02268
55	1044.304	-644.9195	1689.223	0.8678975	0.0009013448	0.0009013448	0.02135883	0.078095	0.217532	0.152981	0.04541	0.46641	0.0395726	0.313338	0.774165	67.35563	0.5614276	0.109903	0.433099	0.974128	2.48287	0.219532	0.238455	0.27563	0.266382	0.3346968	0.9361846
56	1044.726	-645.7973	1690.523	0.8331231	0.0006848661	0.0006848661	0.03056564	0.0774243	0.215663	0.151667	0.04502	0.462404	0.0478208	0.3114752	0.7729837	67.07739	0.5614276	0.102585	0.420135	0.965727	2.51155	0.221848	0.231636	0.278539	0.267977	0.3420408	0.9106375
57	1043.532	-645.0601	1688.592	0.4563224	0.0006483164	0.0006483164	0.0176715	0.0604513	0.191269	0.0982517	0.0351507	0.57754	0.0373375	0.3251812	0.7791169	67.13505	0.5614276	0.025607	0.222449	0.785688	2.96626	0.221848	0.231636	0.278539	0.267977	0.3428527	0.9484575
