"","Lineage code","Ancestor code","Start date","End date","Species in lineage"
"718","F5962","F60",49.0164583170572,46.9302645606427,"Acarinina alticonica-Acarinina pseudosubsphaerica"
"719","F64783","F65030",27.1299917990924,26.6433628392615,"Paragloborotalia pseudocontinuosa-Paragloborotalia nana-Paragloborotalia incognita"
"720","F9039","F9068",49.3156503036286,46.6645837315368,"Alicantina lozanoi-Alicantina prolata"
"721","F12332","F12625",30.7776162618422,30.7288914748266,"Globorotaloides suteri-Catapsydrax unicavus-Catapsydrax dissimilis"
"722","F52761","F51705",3.07329423000105,2.71446123745598,"Globorotalia limbata-Globorotalia pseudomiocenica-Globorotalia miocenica"
"723","F22887","F23087",23.3613741455437,22.625377816637,"Dentoglobigerina prasaepis-Dentoglobigerina venezuelana-Globoquadrina conglomerata"
"724","F62555","F64004",17.5356031515962,16.9617804427745,"Paragloborotalia semivera-Paragloborotalia siakensis-Globorotalia bella-Paragloborotalia mayeri-Paragloborotalia acrostoma"
"725","F6740","N130",53.2,52.6630356294717,"Acarinina quetra"
"726","F68722","F68937",55.5273714257614,55.2031325960756,"Igorina tadjikistanensis-Pearsonites lodoensis-Pearsonites broedermanni-Pearsonites anapetes"
"727","F24186","F23921",28.5717735700239,28.2228494103788,"Dentoglobigerina prasaepis-Dentoglobigerina venezuelana-Globoquadrina conglomerata"
"728","F59339","F59297",0.755222721518949,0.307241196846452,"Neogloboquadrina atlantica-Neogloboquadrina humerosa-Neogloboquadrina dutertrei"
"729","F45020","F48073",4.65425294004381,4.07823760185888,"Globoturborotalita woodi-Globoturborotalita apertura"
"730","F25537","N13",48.7,44.6107801710576,"Globanomalina australiformis"
"731","F38685","F38670",14.6356982521154,13.1132718444687,"Globigerinoides subquadratus"
"732","F35996","N327",7.5,6.95646503799129,"Globigerinoides conglobatus"
"733","F62466","F61867",4.38353224703344,2.91291856303206,"Trilobatus bisphericus-Trilobatus sicanus-Praeorbulina curva-Praeorbulina glomerosa-Praeorbulina circularis-Orbulina suturalis-Orbulina universa"
"734","F42622","F42864",4.63077381590614,4.63043594049367,"Globorotaloides eovariabilis-Globorotaloides hexagonus"
"735","F60176","F60455",1.45903104298748,1.06539678233909,"Neogloboquadrina incompta-Neogloboquadrina pachyderma"
"736","F85270","F85244",1.23420566780853,0.341461315270746,"Trilobatus sacculifer-Trilobatus praeimmaturus-Trilobatus subsacculifer"
"737","F15264","F15249",25.2926420732308,24.6824428402609,"Globoturborotalita gnaucki-Ciperoella anguliofficinalis"
"738","F69881","F69777",64.5176665182784,63.695255222898,"Praemurica taurica-Praemurica pseudoinconstans-Praemurica inconstans-Praemurica uncinata"
"739","F86788","F87842",5.57010687554777,5.19126612233464,"Trilobatus sacculifer-Trilobatus praeimmaturus-Trilobatus subsacculifer"
"740","F49043","N227",37.5,36.631909866347,"Hantkenina alabamensis"
"741","F6537","F6446",52.434773278432,49.7106282408931,"Acarinina pseudotopilensis"
"742","F88198","F88184",2.55108582634108,2.41819412218037,"Globorotalia crassaformis-Globorotalia viola-Globorotalia ronda"
"743","F76627","F76320",48.1051987215165,47.4685026099649,"Subbotina eocaena"
"744","F43402","F43323",22.0963636747678,21.5717982126167,"Globorotaloides suteri-Catapsydrax unicavus-Catapsydrax dissimilis"
"745","F29972","F30373",39.7351154246437,38.6837553653377,"Globigerinatheka index"
"746","F40740","F41561",19.9165600171112,19.5060649099808,"Globoquadrina dehiscens"
"747","F37358","F37481",13.3173728460583,12.8633329252317,"Globigerinoides altiaperturus-Globigerinoides obliquus"
"748","F9258","F9242",3.39533059154637,0.774665883204434,"Beella praedigitata-Beella digitata"
"749","F72924","F73602",6.94904312213744,6.10348473697901,"Sphaeroidinellopsis seminulina-Sphaeroidinellopsis paenedehiscens-Sphaeroidinella dehiscens"
"750","F43709","F12541",28.4737841934792,28.4204337941157,"Globorotaloides suteri-Catapsydrax unicavus-Catapsydrax dissimilis"
"751","F66418","F67168",19.8221820184845,19.7079489595443,"Paragloborotalia semivera-Paragloborotalia siakensis-Globorotalia bella-Paragloborotalia mayeri-Paragloborotalia acrostoma"
"752","F4219","F4179",57.6439259689697,57.4859078878813,"Acarinina nitida"
"753","F32637","N300",3.8,2.95623376887524,"Globigerinella siphonifera"
"754","F40468","F41275",17.472765621031,17.3903695469592,"Globoquadrina dehiscens"
"755","F66306","F66757",27.3473971904304,26.6358470193739,"Paragloborotalia semivera-Paragloborotalia siakensis-Globorotalia bella-Paragloborotalia mayeri-Paragloborotalia acrostoma"
"756","F29586","F29563",42.6854976137696,41.5592132626797,"Globigerinatheka barri"
"757","F23087","F22821",23.9486218095772,23.3613741455437,"Dentoglobigerina prasaepis-Dentoglobigerina venezuelana-Globoquadrina conglomerata"
"758","F78683","N310",38.5,38.2442749999679,"Subbotina minima-Subbotina angiporoides"
"759","F49307","F49329",3.31827943769516,0.145813401583582,"Globorotalia margaritae-Globorotalia hirsuta"
"760","F73674","F73134",13.9527555687772,13.385252338727,"Sphaeroidinellopsis disjuncta-Sphaeroidinellopsis seminulina"
"761","F80722","F80487",57.7708229051844,57.6393113177456,"Subbotina trivialis-Subbotina triangularis"
"762","F52876","F52841",5.73958915252893,4.57934085585573,"Globorotalia multicamerata"
"763","F68877","F68722",55.2031325960756,54.8432973310709,"Igorina tadjikistanensis-Pearsonites lodoensis-Pearsonites broedermanni-Pearsonites anapetes"
"764","F60123","F60344",5.92795016919008,5.85329446127871,"Neogloboquadrina incompta-Neogloboquadrina pachyderma"
"765","F16907","F16620",4.03222852059327,3.6627322001406,"Dentoglobigerina globularis-Dentoglobigerina globosa-Dentoglobigerina altispira"
"766","F60218","F60598",2.42718627487775,1.93882552799769,"Neogloboquadrina incompta-Neogloboquadrina pachyderma"
"767","F79986","F79410",45.6780956414831,44.9782253555272,"Subbotina senni"
"768","F20416","N163",34.4,32.3412681050157,"Dentoglobigerina pseudovenezuelana"
"769","F10610","F10763",30.3033130601537,29.7779453808255,"Globorotaloides suteri-Catapsydrax unicavus-Catapsydrax dissimilis"
"770","F79353","F79340",44.2983977309673,43.3909399359277,"Subbotina senni"
"771","F26920","F25927",54.7168269527284,54.0715018454613,"Globanomalina chapmani-Globanomalina planoconica-Planoglobanomalina pseudoalgeriana"
"772","F12034","F12754",28.0237256106129,27.9136780254124,"Globorotaloides suteri-Catapsydrax unicavus-Catapsydrax dissimilis"
"773","F60500","F59840",5.13272804905396,2.62525837855336,"Neogloboquadrina incompta-Neogloboquadrina pachyderma"
"774","F29748","F29731",36.0080846820958,34.9631459697685,"Globigerinatheka index"
"775","F32737","F32637",2.95623376887524,2.61801558628121,"Globigerinella siphonifera"
"776","F28645","F28814",4.4010860795714,4.34247140763095,"Globoturborotalita occlusa-Globigerina praebulloides-Globigerina bulloides-Globigerina umbilicata-Globigerina falconensis"
"777","F12746","F10674",25.875306266851,24.8069470016262,"Globorotaloides suteri-Catapsydrax unicavus-Catapsydrax dissimilis"
"778","F82099","F82195",48.3671623396664,45.411416770462,"Subbotina yeguaensis-Subbotina gortanii"
"779","F43013","F42963",19.7924953094399,18.1717863811977,"Globorotaloides stainforthi-Catapsydrax parvulus"
"780","F24423","N257",64.8,63.7973151847607,"Eoglobigerina eobulloides-Eoglobigerina edita-Eoglobigerina spiralis"
"781","F17421","F16880",18.2928320879419,18.1792539826692,"Dentoglobigerina globularis-Dentoglobigerina globosa-Dentoglobigerina altispira"
"782","F70583","F71509",44.9419530262752,44.3892176378585,"Pseudohastigerina wilcoxensis-Pseudohastigerina micra"
"783","F52194","F52151",6.53997146063019,6.5348122901842,"Globorotalia menardii"
"784","F61867","F62370",4.65073417157168,4.38353224703344,"Trilobatus bisphericus-Trilobatus sicanus-Praeorbulina curva-Praeorbulina glomerosa-Praeorbulina circularis-Orbulina suturalis-Orbulina universa"
"785","F73040","F73004",10.550886342023,10.161376167261,"Sphaeroidinellopsis seminulina-Sphaeroidinellopsis paenedehiscens-Sphaeroidinella dehiscens"
"786","F78528","F78202",41.5566292447857,39.8170621975581,"Subbotina cancellata-Subbotina patagonica-Subbotina linaperta"
"787","F41161","F41476",15.9202426292445,15.8073421354452,"Globoquadrina dehiscens"
"788","F4733","N144",41.7,41.1610857204348,"Acarinina praetopilensis"
"789","F28323","F27973",3.39689334925963,1.41606434689006,"Globoturborotalita occlusa-Globigerina praebulloides-Globigerina bulloides-Globigerina umbilicata-Globigerina falconensis"
"790","F76332","F76641",37.7587608039146,37.6285839775884,"Subbotina eocaena"
"791","F90324","F90334",41.0318675465253,40.9336298515182,"Turborotalia frontosa-Turborotalia possagnoensis-Turborotalia pomeroli-Turborotalia cerroazulensis-Turborotalia altispiroides"
"792","F85226","F87031",21.369349570116,21.1179938180046,"Globoturborotalita connecta-Trilobatus sacculifer-Trilobatus praeimmaturus"
"793","F65113","F64783",26.6433628392615,26.4770099603787,"Paragloborotalia pseudocontinuosa-Paragloborotalia nana-Paragloborotalia incognita"
"794","F42803","F42634",10.0750178814231,8.34053170294106,"Globorotaloides eovariabilis-Globorotaloides hexagonus"
"795","F22658","F23308",6.5809465422529,6.26415283354591,"Dentoglobigerina prasaepis-Dentoglobigerina venezuelana-Globoquadrina conglomerata"
"796","F7015","N145",41,38.7809753136109,"Acarinina rohri"
"797","F65104","N193bis",30.5,30.3399402910656,"Paragloborotalia pseudocontinuosa-Paragloborotalia nana"
"798","F60900","F60875",12.966547703403,12.8417134892615,"Trilobatus bisphericus-Trilobatus sicanus-Praeorbulina curva-Praeorbulina glomerosa-Praeorbulina circularis-Orbulina suturalis-Orbulina universa"
"799","F37862","F37358",12.8633329252317,11.3368863658165,"Globigerinoides altiaperturus-Globigerinoides obliquus"
"800","F31724","N366",29.4,24.2234016525676,"Globigerinella clavaticamerata-Globigerinella obesa-Globigerinella praesiphonifera-Globigerinella siphonifera"
"801","F12540","F11346",32.314205010531,32.2323500884138,"Globorotaloides suteri-Catapsydrax unicavus-Catapsydrax dissimilis"
"802","F32235","F31889",18.6257270179649,15.6524573342269,"Globigerinella clavaticamerata-Globigerinella obesa-Globigerinella praesiphonifera-Globigerinella siphonifera"
"803","F45888","N291",21.5,14.9555668816366,"Globoturborotalita druryi"
"804","F63997","F66956",16.3900837582302,14.811520989181,"Paragloborotalia semivera-Paragloborotalia siakensis-Globorotalia bella-Paragloborotalia mayeri-Paragloborotalia acrostoma"
"805","F39935","F39349",3.75717575840652,2.88738810347852,"Globorotalia sphericomiozea-Globorotalia puncticulata-Globorotalia triangula-Globorotalia inflata"
"806","F87731","F87515",10.2108635181421,10.1414921514325,"Trilobatus sacculifer-Trilobatus praeimmaturus-Trilobatus subsacculifer"
"807","F76304","F76446",34.97789515018,34.7086045961687,"Subbotina eocaena"
"808","F18171","F18175",10.8935175510845,7.11931958113099,"Dentoglobigerina baroemoenensis"
"809","F20195","F20217",31.617442226575,31.0304684737319,"Dentoglobigerina prasaepis-Dentoglobigerina venezuelana-Globoquadrina conglomerata"
"810","F88972","F88919",31.3535173390759,30.7323368440941,"Turborotalia ampliapertura-Globoturborotalita euapertura"
"811","F35895","F36142",5.31594750276068,0.669741110675968,"Globigerinoides conglobatus"
"812","F82311","N77",45.35,43.0008193513076,"Subbotina yeguaensis-Subbotina gortanii"
"813","F37319","F37490",7.37347453429596,7.16524550160859,"Globigerinoides obliquus"
"814","F45855","F45888",14.9555668816366,14.4635263156068,"Globoturborotalita druryi"
"815","F90327","F89806",43.3041488529546,43.2710213953676,"Turborotalia frontosa-Turborotalia possagnoensis-Turborotalia pomeroli-Turborotalia cerroazulensis-Turborotalia altispiroides"
"816","F64779","F64960",27.1903360695346,27.1771934845927,"Paragloborotalia pseudocontinuosa-Paragloborotalia nana-Paragloborotalia incognita"
"817","F74962","F75276",42.6856329044947,41.8309029594972,"Parasubbotina hagni-Subbotina corpulenta"
"818","F51247","F68855",56.3938277861732,56.2986678301706,"Igorina tadjikistanensis-Pearsonites lodoensis-Pearsonites broedermanni-Pearsonites anapetes"
"819","F46839","F47229",8.90298831257271,8.83844124997966,"Globoturborotalita nepenthes"
"820","F87109","F84797",9.79132660917006,9.39902062475325,"Trilobatus sacculifer-Trilobatus praeimmaturus-Trilobatus subsacculifer"
"821","F76641","F76605",38.1797624274972,37.7587608039146,"Subbotina eocaena"
"822","F39269","F39140",2.77326404763898,0.755733942906372,"Globorotalia sphericomiozea-Globorotalia puncticulata-Globorotalia triangula-Globorotalia inflata"
"823","F16354","F17278",20.7222256000713,19.9944412143272,"Dentoglobigerina globularis-Dentoglobigerina globosa-Dentoglobigerina altispira"
"824","F11431","F10529",24.2809523611832,23.7389763701684,"Globorotaloides suteri-Catapsydrax unicavus-Catapsydrax dissimilis"
"825","F52134","N40",10,8.60786050491612,"Globorotalia menardii"
"826","F31362","N248",38.4,38.3138020066381,"Globigerinatheka tropicalis"
"827","F64608","F64671",29.7923876543995,28.2597329145926,"Paragloborotalia pseudocontinuosa-Paragloborotalia nana-Paragloborotalia incognita"
"828","F55945","F54441",52.3499028155005,51.839707147961,"Morozovella lensiformis-Morozovella aragonensis"
"829","F60792","F60730",12.7795778600214,11.9767512976076,"Trilobatus bisphericus-Trilobatus sicanus-Praeorbulina curva-Praeorbulina glomerosa-Praeorbulina circularis-Orbulina suturalis-Orbulina universa"
