"","Lineage code","Ancestor code","Start date","End date","Species in lineage"
"239","T197","F65929",20.3338989582774,15.1,"Paragloborotalia pseudocontinuosa-Paragloborotalia nana-Paragloborotalia incognita"
"240","T20","N18",34.5,33.8,"Turborotalia cocoaensis-Turborotalia cunialensis"
"241","T200","N199",44.5,33.7,"Globorotaloides quadrocameratus"
"242","T202","F44476",27.8751583104208,22.5,"Globorotaloides testarugosus"
"243","T204","N203",13.8,4.8,"Globorotaloides variabilis"
"244","T205","F42813",3.01225914980518,0,"Globorotaloides eovariabilis-Globorotaloides hexagonus"
"245","T208","N207",37.9,33.7,"Catapsydrax howei"
"246","T209","N207",37.9,34.3,"Catapsydrax africanus"
"247","T211","N210",39.4,34.3,"Catapsydrax globiformis"
"248","T213","F11122",17.6417502404888,17.3,"Globorotaloides suteri-Catapsydrax unicavus-Catapsydrax dissimilis"
"249","T214","N212",27.5,10.9,"Globorotaloides stainforthi-Catapsydrax parvulus"
"250","T216","N215",51.5,50.9,"Parasubbotina prebetica"
"251","T219","N218",48.1,44,"Parasubbotina eoclava"
"252","T22","F89086",31.2891308718788,30.25,"Turborotalia ampliapertura-Globoturborotalita euapertura"
"253","T222","N220",47.2,42.7,"Clavigerinella akersi-Clavigerinella jarvisi-Clavigerinella colombiana"
"254","T224","N223",43.7,41.4,"Hantkenina lehneri"
"255","T226","N225",41.3,38.1,"Hantkenina australis"
"256","T228","N227",37.5,33.7,"Hantkenina compressa-Hantkenina primitiva"
"257","T229","F49035",36.2158182487694,33.7,"Hantkenina alabamensis"
"258","T230","N358",36.4,33.7,"Hantkenina nanggulanensis-Cribrohantkenina inflata"
"259","T233","N232",45.25,37.3,"Parasubbotina griffinae"
"260","T234","N232",45.25,43.1,"Pseudoglobigerinella bolivariana"
"261","T236","N235",46.4,45.4,"Parasubbotina inaequispira"
"262","T238","F48894",43.6858112483704,42.3,"Guembelitrioides nuttalli"
"263","T24","F90027",32.4078437930346,30.3,"Turborotalia increbescens"
"264","T242","F30789",37.2788967708294,36,"Globigerinatheka mexicana"
"265","T243","N241",38,35.8,"Globigerinatheka semiinvoluta"
"266","T245","F29616",38.6771386040724,36.3,"Globigerinatheka barri"
"267","T247","F31098",35.5894337218645,35.5,"Globigerinatheka subconglobata-Globigerinatheka korotkovi"
"268","T249","F30096",34.3613547470979,34.3,"Globigerinatheka index"
"269","T250","N248",38.4,33.8,"Globigerinatheka tropicalis"
"270","T252","F30597",40.2202248927928,39.8,"Globigerinatheka kugleri"
"271","T254","N253",40.3,40,"Globigerinatheka euganea-Orbulinoides beckmanni"
"272","T255","F30628",34.858332927382,34.3,"Globigerinatheka luterbacheri"
"273","T258","F24345",62.2100764106199,60.9,"Eoglobigerina eobulloides-Eoglobigerina edita-Eoglobigerina spiralis"
"274","T260","F80873",59.7071978530171,59.3,"Subbotina triloculinoides"
"275","T263","N262",55.6,55.55,"Subbotina triangularis"
"276","T266","F77361",28.5254842130165,27.2,"Subbotina yeguaensis-Subbotina gortanii"
"277","T268","F67417",35.3830029657413,32.1,"Parasubbotina hagni-Subbotina corpulenta"
"278","T270","N269",42.8,33.7,"Subbotina jacksonensis"
"279","T272","F75765",33.0044456930482,32.2,"Subbotina eocaena"
"280","T274","N273",32.9,32.6,"Subbotina sp1"
"281","T275","N273",32.9,27.2,"Subbotina sp2"
"282","T277","F79450",39.3599193753628,38,"Subbotina senni"
"283","T28","N27",5.3,3.9,"Globorotalia pliozea"
"284","T280","F16198",23.4614794450255,19.3,"Ciperoella ciperoensis-Ciperoella fariasi"
"285","T282","F15490",24.0786990135252,22.5,"Ciperoella angulisuturalis"
"286","T284","N283",28.9,23.8,"Globigerina officinalis"
"287","T287","F85078",19.0071476611146,18.8,"Trilobatus primordius"
"288","T288","F28325",0.0067529565654695,0,"Globoturborotalita occlusa-Globigerina praebulloides-Globigerina bulloides-Globigerina umbilicata-Globigerina falconensis"
"289","T29","F39281",0.00888681844109669,0,"Globorotalia sphericomiozea-Globorotalia puncticulata-Globorotalia pseudospinosa-Globorotalia triangula-Globorotalia inflata"
"290","T294","N292",0.3,0,"Beella digitata"
"291","T297","N295",15.8,12.1,"Clavatorella bermudezi"
"292","T299","N292",0.3,0,"Beella praedigitata-Beella digitata"
"293","T302","N301",0.3,0,"Globigerinella adamsi"
"294","T303","N301",0.3,0,"Globigerinella calida"
"295","T304","F32796",0.393407543092035,0,"Globigerinella siphonifera"
"296","T307","F81948",54.9250934571952,54.45,"Subbotina velascoensis"
"297","T309","N308",54.5,52.5,"Subbotina hornibrooki"
